author,title,journal,volume,pages,year,doi,url
Tuba Bircan and Mustafa F. Özbilgin,Unmasking inequalities of the code: Disentangling the nexus of AI and inequality,Technological Forecasting and Social Change,211.0,123925,2025,https://doi.org/10.1016/j.techfore.2024.123925,https://www.sciencedirect.com/science/article/pii/S0040162524007236
Adeel Luqman and Liangyu Wang and Gagan Katiyar and Reeti Agarwal and Amiya Kumar Mohapatra,Unpacking associations between positive-negative valence and ambidexterity of big data. Implications for firm performance,Technological Forecasting and Social Change,200.0,123054,2024,https://doi.org/10.1016/j.techfore.2023.123054,https://www.sciencedirect.com/science/article/pii/S0040162523007394
